Github repo name,Number of stars,Programming language
walt,3235,JavaScript
Logan,562,C
muze,451,JavaScript
awesome-spider,4609,Null
Python,13791,Python
Algorithm_Interview_Notes-Chinese,7008,Python
interviews,28441,Java
os-tutorial,11397,C
30-seconds-of-code,28152,JavaScript
Advanced-React,550,JavaScript
Hello-world,548,Jupyter Notebook
awesome-vscode,10588,JavaScript
JavaGuide,8783,Java
camelot,413,Python
developer-roadmap,58875,Null
MS-DOS,11437,Assembly
react-native-testing-library,204,JavaScript
pinpoint,7251,Java
accu,180,Python
vscode,61598,TypeScript
awesome-algorithm,5326,Python
tensorflow,111872,C++
Panels,251,Swift
first-contributions,3765,Null
SpriteKitWatchFace,280,Objective-C
