Github repo name,Number of stars,Programming language
awesome-vscode,9512,JavaScript
Algorithm_Interview_Notes-Chinese,6187,Python
30-seconds-of-code,27384,JavaScript
nvtop,871,C
aiortc,657,Python
MS-DOS,10872,Assembly
bpftrace,325,C++
brigadier,1396,Java
JavaGuide,8069,Java
interviews,27575,Java
tiptap,1010,JavaScript
developer-roadmap,58330,Null
Python,13150,Python
biscuit,204,Go
CS-Notes,37843,Null
Hello-world,319,Java
ferret,2343,Go
graphql-engine,4303,JavaScript
quick-SQL-cheatsheet,1849,Null
symphony,5459,Java
bifurcan,363,Java
sourcegraph,3115,Go
first-contributions,3598,Null
DataFixerUpper,545,Java
vue,115930,JavaScript
